E-Commerce,Waktu,Wishlist,Internet,Pemasukan,Pengeluaran,beli_berdasarkan_keinginan,beli_untuk_pujian,beli_tanpa_pertimbangkan_uang,Konsumtif
Tokopedia,1.0,2,40000,1000000,20000,1,0,1,1
Shopee,3.0,119,85000,1500000,150000,1,0,1,1
Shopee,2.0,10,40000,2500000,2500000,1,0,1,1
Shopee,1.0,10,50000,1500000,100000,1,0,1,1
Shopee,3.0,30,25000,400000,75000,1,0,0,0
Tokopedia,2.0,20,35000,1500000,1500000,1,0,0,0
Shopee,2.0,1,45000,1200000,500000,1,0,0,0
Shopee,2.7,81,32000,2000000,500000,1,0,0,0
Shopee,1.0,15,125000,500000,430000,1,0,0,0
Tokopedia,0.5,3,77000,300000,40000,0,0,0,0
Shopee,1.4,10,50000,3000000,500000,1,0,1,1
Tokopedia,0.45,82,50000,1500000,350000,1,1,0,1
Shopee,1.27,31,40000,1500000,100000,1,0,0,0
Shopee,1.1,18,50000,1500000,100000,1,0,1,1
Shopee,1.0,21,50000,1300000,400000,1,0,0,0
Shopee,0.67,9,95000,2000000,300000,1,0,0,0
Shopee,3.0,88,40000,2600000,200000,1,1,0,1
Shopee,1.0,5,100000,2500000,400000,1,0,1,1
Shopee,3.0,75,50000,100000,100000,1,0,0,0
Shopee,2.0,49,30000,2000000,150000,1,0,0,0
Shopee,1.0,383,100000,1500000,174000,1,0,0,0
Tokopedia,1.0,4,100000,1500000,200000,1,0,0,0
Shopee,2.0,0,35000,250000,100000,1,0,1,1
Tokopedia,0.67,20,100000,200000,100000,1,0,1,1
Shopee,5.0,0,70000,1500000,500000,1,0,1,1
Shopee,2.0,36,54000,800000,200000,1,0,0,0
Shopee,2.0,45,60000,2000000,500000,1,1,1,1
Shopee,0.5,4,100000,800000,50000,0,0,0,0
Shopee,1.0,15,50000,1500000,100000,1,0,0,0
Shopee,0.5,23,50000,2500000,200000,1,0,0,0
Shopee,2.0,7,50000,1000000,50000,1,0,0,0
Shopee,0.4,99,80000,1500000,200000,1,0,0,0
Lainnya,0.035,22,300000,2000000,1800000,1,0,1,1
Shopee,1.5,99,50000,1400000,100000,1,0,0,0
Shopee,1.0,200,140000,1500000,200000,1,0,1,1
Shopee,2.0,30,300000,2000000,1800000,1,0,1,1
Tokopedia,2.0,107,360000,1000000,200000,1,0,0,0
Shopee,2.0,0,32000,300000,150000,1,0,1,1
Shopee,5.0,99,31000,1000000,200000,1,0,1,1
Shopee,1.0,75,100000,1300000,200000,1,0,1,1
Shopee,2.6,27,55000,200000,200000,1,0,1,1
Shopee,3.0,5,150000,700000,680000,1,0,1,1
Shopee,1.0,99,100,2750000,200000,1,0,1,1
Shopee,3.0,10,100000,2500000,150000,1,0,1,1
Tokopedia,0.5,3,137000,2000000,1860000,0,0,0,0
Shopee,1.0,3,40000,1500000,300000,1,0,0,0
Tokopedia,2.0,23,88000,2000000,300000,1,0,1,1
Shopee,3.0,62,430000,25000000,200000,1,1,1,1
Tokopedia,1.0,99,50000,2500000,300000,1,0,0,0
Shopee,7.0,200,100000,2000000,500000,1,0,1,1
Shopee,1.0,15,350000,1500000,200000,1,0,1,1
Shopee,3.0,99,100000,1000000,200000,1,0,0,0
Shopee,1.5,10,40000,1200000,1000000,1,0,1,1
Shopee,1.5,100,80000,1000000,500000,1,0,1,1
Tokopedia,0.25,1124,100000,2700000,200000,1,0,0,0
Shopee,1.0,59,50000,2000000,500000,1,0,1,1
Shopee,0.5,99,25000,1250000,200000,1,1,1,1
Shopee,1.0,10,56000,2000000,25000,1,0,1,1
Shopee,2.5,20,50000,600000,200000,1,1,1,1
Lainnya,0.5,46,100000,1500000,200000,1,0,0,0
Tokopedia,2.0,10,60000,1000000,150000,1,0,0,0
Shopee,2.0,30,20000,2000000,100000,1,1,1,1
Shopee,0.83,253,100000,1000000,200,1,1,0,1
Shopee,0.17,1,200000,2000000,1750000,0,0,0,0
Shopee,0.5,10,12000,500000,100000,1,0,0,0
Shopee,5.0,59,100000,2000000,300000,1,0,1,0
Tokopedia,1.0,9,60000,150000,40000,1,0,0,0
Shopee,4.0,99,100000,1500000,200000,1,0,0,0
Shopee,1.0,0,100000,3000000,320000,1,1,0,1
Shopee,2.5,5,55000,500000,150000,1,0,0,0
